"","grp","categories","q","k","n","m","fraction.pop","fraction.obs","exp.q","log2.fold.enrichment","p.value","adj.p.value"
"1",0,"E",465,4957,5375,495,0.0843270868824531,0.0938067379463385,418.00936967632,0.15369543555551,1.40934523402737e-11,1.5737688446639e-10
"2",0,"EP",31,4957,5839,31,0.00528109028960818,0.0062537825297559,26.1783645655877,0.243893244527088,0.00521969048191645,0.0249799473063145
"3",0,"G",391,4957,5463,407,0.069335604770017,0.0788783538430502,343.696592844974,0.186033057568193,1.26946957402002e-14,2.12636153648353e-13
"4",0,"GM",29,4957,5841,29,0.00494037478705281,0.00585031268912649,24.4894378194208,0.243893244527088,0.0073331664498292,0.0307076345086598
"5",0,"H",121,4957,5738,132,0.0224872231686542,0.0244099253580795,111.469165247019,0.118362362443229,0.0100221828803521,0.0394991913519759
"6",0,"I",142,4957,5722,148,0.0252129471890971,0.0286463586846883,124.980579216354,0.18418699840282,7.37743237135521e-06,7.06125669829713e-05
"7",0,"IQ",82,4957,5785,85,0.0144804088586031,0.0165422634658059,71.7793867120954,0.19205431300747,0.000404917755823199,0.00271294896401544
"8",0,"J",150,4957,5668,202,0.034412265758092,0.030260238047206,170.581601362862,-0.185499547728826,9.73165145121766e-05,0.000815025809039479
"9",0,"K",493,4957,5358,512,0.0872231686541738,0.0994553157151503,432.365247018739,0.189337080904999,4.77791684941642e-19,1.6006021445545e-17
"10",0,"L",248,4957,5616,254,0.0432708688245315,0.0500302602380472,214.493696763203,0.209404868141797,1.66444947654554e-12,2.23036229857102e-11
"11",0,"M",249,4957,5595,275,0.0468483816013629,0.0502319951583619,232.227427597956,0.100607368183147,0.00174935380618779,0.0106551550013256
"12",0,"N",11,4957,5831,39,0.00664395229982964,0.00221908412346177,32.9340715502555,-1.58207735569786,4.86090016935536e-15,1.0856010378227e-13
"13",0,"NT",10,4957,5852,18,0.0030664395229983,0.00201734920314706,15.2003407155026,-0.604103662027862,0.00338479279682746,0.0174447013374954
"14",0,"P",317,4957,5520,350,0.0596252129471891,0.063949969739762,295.562180579216,0.101021162834166,0.00039185890825953,0.00271294896401544
"15",0,"Q",86,4957,5778,92,0.0156729131175468,0.0173492031470648,77.6906303236797,0.146596043172173,0.00712216194269915,0.0307076345086598
"16",0,"S",1049,4957,4746,1124,0.191482112436116,0.211619931410127,949.176831345826,0.144265886883429,3.41307479506574e-23,2.28676011269405e-21
"17",0,"T",179,4957,5674,196,0.0333901192504259,0.0361105507363325,165.514821124361,0.112999177676136,0.00287670107299401,0.0160615809908832
"18",0,"U",57,4957,5810,60,0.010221465076661,0.0114988904579383,50.6678023850085,0.169892663083311,0.010950940071411,0.0407618324880297
"19",1,"C",3,213,5533,337,0.0574105621805792,0.0140845070422535,12.2284497444634,-2.02720711268913,0.00134622814883624,0.00500027598139175
"20",1,"G",6,213,5463,407,0.069335604770017,0.028169014084507,14.7684838160136,-1.29948731577351,0.00646936982488376,0.0186892906052198
"21",1,"J",51,213,5668,202,0.034412265758092,0.23943661971831,7.3298126064736,2.79864902699128,2.23459890122384e-30,2.90497857159099e-29
"22",1,"KT",3,213,5859,11,0.00187393526405451,0.0140845070422535,0.399148211243612,2.90996604985544,0.00626361769757003,0.0186892906052198
"23",1,"L",1,213,5616,254,0.0432708688245315,0.00469483568075117,9.21669505962521,-3.20424951900059,0.000745475482324073,0.00323039375673765
"24",1,"N",27,213,5831,39,0.00664395229982964,0.126760563380282,1.41516183986371,4.2539204510728,6.6276101304845e-31,1.72317863392597e-29
"25",1,"NT",8,213,5852,18,0.0030664395229983,0.0375586854460094,0.653151618398637,3.61451016632926,8.43925914572979e-08,7.31402459296582e-07
"26",1,"O",15,213,5718,152,0.0258943781942078,0.0704225352112676,5.51550255536627,1.44339824993651,0.000370205373197868,0.00192506794062891
"27",1,"S",22,213,4746,1124,0.191482112436116,0.103286384976526,40.7856899488927,-0.890559533812053,0.000277079632873025,0.00180101761367466
